Timestamp,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,LinAccX,LinAccY,LinAccZ
1698280199498,0.91219085,0.37828386,9.7563715,NaN,NaN,NaN,-0.009773844,0.008552114,0.0061086523,NaN,NaN,NaN
1698280199497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023942017,0.016759412,-0.016759412
1698280199507,0.9552865,0.47884035,9.765948,NaN,NaN,NaN,NaN,NaN,NaN,-0.02873042,-0.023942016,0.0047884034
1698280199508,NaN,NaN,NaN,NaN,NaN,NaN,-0.20525073,0.16371189,-0.112399206,NaN,NaN,NaN
1698280199517,0.9600749,0.39264908,9.85214,0.95357215,0.47799736,9.7484665,0.08674286,0.21380283,-0.23701571,NaN,NaN,NaN
1698280199518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04309563,0.10055647,0.011971008
1698280199527,0.90261406,0.4165911,9.768343,NaN,NaN,NaN,0.22357668,0.45937067,-0.24190263,NaN,NaN,NaN
1698280199528,NaN,NaN,NaN,0.9168046,0.47172388,9.752298,NaN,NaN,NaN,0.04070143,0.0,0.09816227
1698280199537,0.94810385,0.4237737,9.734824,0.8717469,0.49662012,9.755194,NaN,NaN,NaN,-0.019153614,0.021547815,0.01436521
1698280199538,NaN,NaN,NaN,NaN,NaN,NaN,-0.2321288,-0.22113322,-0.0012217305,NaN,NaN,NaN
1698280199547,0.94331545,0.34237084,9.816227,0.89419115,0.4748479,9.754247,NaN,NaN,NaN,NaN,NaN,NaN
1698280199548,NaN,NaN,NaN,NaN,NaN,NaN,-0.16493362,-0.16737708,0.02076942,0.02633622,0.02633622,-0.016759412
1698280199557,0.9600749,0.3854665,9.773131,0.9115201,0.45944816,9.75338,-0.0061086523,-0.010995574,0.0012217305,0.016759412,-0.05746084,0.06464344
1698280199567,0.9959879,0.40701428,9.7084875,NaN,NaN,NaN,-0.0061086523,0.0036651916,0.0,0.033518825,-0.0047884034,0.021547815
1698280199568,NaN,NaN,NaN,0.91353613,0.4597806,9.753176,NaN,NaN,NaN,NaN,NaN,NaN
1698280199577,0.9624691,0.4261679,9.722853,0.9140777,0.46013612,9.753109,-0.0036651916,0.004886922,0.0,0.06703765,0.01436521,-0.04070143
1698280199587,1.0055647,0.39983168,9.830592,0.9145502,0.46067885,9.753038,NaN,NaN,NaN,0.019153614,0.031124622,-0.02633622
1698280199588,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.0061086523,0.0,NaN,NaN,NaN
1698280199597,0.9959879,0.44771573,9.816227,0.9147032,0.46064574,9.753026,NaN,NaN,NaN,0.06464344,0.007182605,0.079008654
